Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom
137.5	-35.5000986914822	-16.648264486277	-38.5812760232005	-16.6761820997817
138	-36.6267031051567	-15.8955121308928	-39.1833906519037	-15.9159303080712
138.5	-38.4866817537826	-16.257295672009	-43.6821133553339	-16.2651606177512
139	-41.4269646855932	-16.2218787289843	-43.1672431559872	-16.2306626210205
139.5	-46.3884282239961	-16.2921921319188	-37.2049271308	-16.3275329545394
140	-54.5341053762076	-17.1452795628335	-35.0508199787401	-17.2162000102105
140.5	-48.0839198665873	-17.3089665373658	-34.8265342024425	-17.3865737574955
141	-42.6535289773832	-17.6451203186534	-34.2793830535546	-17.7404250718835
141.5	-39.5865648017418	-19.6752107394779	-33.53750332622	-19.8574470895305
142	-37.6843338868062	-22.7500207627624	-34.924981998946	-23.0215353656356
142.5	-36.5057655865988	-25.7581902557557	-40.1518518752617	-25.9190458257158
143	-35.8538081430491	-28.6582232632253	-43.0973272845737	-28.8173734371017
143.5	-35.6316891519272	-29.1218404361337	-36.9021718118298	-29.91388916079
144	-35.7948854619079	-28.2948906769646	-33.8247520372771	-29.7210051909743
144.5	-36.3341649241136	-26.6981167613043	-32.928400827581	-27.8798003743191
145	-37.2730889680865	-26.1341260622986	-34.1060753334689	-26.888833119119
145.5	-38.6779185661316	-28.6994249245964	-36.7909183918073	-29.4318104380305
146	-40.6890499951608	-31.7873429274358	-38.2723023699693	-32.8923581565492
146.5	-43.611344870234	-28.6331013182282	-39.1540244526902	-29.0364721073916
147	-48.2256191448775	-27.8766291050456	-41.7934141683391	-28.0565454275549
147.5	-56.7396912121179	-29.5282271176431	-43.7783878270712	-29.6945913258764
148	-53.517886293423	-30.7813463846127	-43.0583702947706	-31.0463581341961
148.5	-47.0859536305126	-32.8633749010666	-42.8958228897713	-33.3173593941471
149	-43.6174816759201	-38.0335338100087	-43.4672629731074	-39.4975977972722
149.5	-41.4578497942164	-42.3170254823674	-42.8707210758684	-51.5360647686624
150	-40.0472733690711	-37.5800473321307	-40.9637056372271	-40.2465606746194
150.5	-39.1444169339845	-34.7781041016307	-39.6205783674134	-36.503819579538
151	-38.6273268858262	-34.6927567458378	-39.5539760109239	-36.4093559628796
151.5	-38.429767048076	-33.5037044933755	-41.173694124517	-34.3181693499498
152	-38.5166352224457	-33.7163636167436	-44.126438473926	-34.1306758557425
152.5	-38.8738080500275	-35.9685473271279	-45.0040202082534	-36.5478139024952
153	-39.5048570973125	-34.5896479985087	-43.7388177874748	-35.15293165156
153.5	-40.4325913899119	-32.8901028961785	-43.8911736510671	-33.2494556589274
154	-41.7064122420344	-31.7604962993751	-47.3590801757776	-31.8818291616231
154.5	-43.4206937235062	-32.8657192636952	-56.4196730850949	-32.8849213616276
155	-45.7611311725708	-33.1036360784763	-45.798728489789	-33.34364094655
155.5	-49.142615307759	-30.0121537417101	-40.6762632040421	-30.4018370943263
156	-54.7678099875775	-30.1182829748127	-38.9594679748981	-30.7259939736202
156.5	-65.2709530385918	-30.9033072026814	-39.6328218986876	-31.5280412231156
157	-55.5119121440632	-30.2186694854676	-42.164247786508	-30.5054069741857
157.5	-49.9247406678671	-32.5814935990669	-44.6236710403225	-32.8617156685801
158	-46.7016059002826	-37.6330666628619	-43.2225354432224	-39.0362302290631
158.5	-44.5340701993817	-37.1775266719215	-40.7235607975513	-39.7109812631251
159	-42.9737243819931	-32.8231265974065	-40.8262631305479	-33.5719397934805
159.5	-41.8153492925333	-28.7046336542897	-44.7295320411475	-28.8144773359566
160	-40.9478041998982	-27.4133878846205	-53.8052924819385	-27.4233670153619
160.5	-40.3039751680459	-27.6563284943224	-57.0116469519695	-27.6613693525598
161	-39.8401360373812	-27.1575642704027	-51.4050223620792	-27.1739270237146
161.5	-39.5261701054406	-26.7528383642053	-46.2950748290325	-26.8013655116293
162	-39.3404489943269	-28.2954704742542	-44.4053047109936	-28.4031601941432
162.5	-39.2669394563183	-31.6649090910269	-44.358655954125	-31.9049904239103
163	-39.293469248621	-33.6517791194441	-44.1400313728547	-34.0583429152396
163.5	-39.4106374773734	-32.6507375980203	-42.8575123779839	-33.0859336459074
164	-39.6111031321511	-30.7262057006199	-42.393707090811	-31.0325876782501
164.5	-39.8891054975581	-30.3240978394403	-43.6512337047171	-30.5308096645093
165	-40.2401316617807	-32.3454612790393	-42.5365902693497	-32.7823096872329
165.5	-40.660679333438	-35.3651936869526	-40.1539873547719	-37.1173423348454
166	-41.1480812412937	-36.2962319061213	-40.6403863203653	-38.2875289512157
166.5	-41.7003669679703	-32.40421315582	-42.9246933082208	-32.807627062646
167	-42.3161421479428	-28.9008851666259	-40.7875270873112	-29.1916744936516
167.5	-42.9944646342725	-28.1951450234839	-38.9678339326455	-28.5747733198947
168	-43.7346922959002	-30.061303008687	-39.9984469686056	-30.5259184073946
168.5	-44.536266140999	-32.5527973958315	-42.1395915363337	-33.0588082263117
169	-45.3983727569966	-32.2942499561705	-41.3116959186429	-32.8760948195784
169.5	-46.3193976474537	-32.2876784375844	-40.2145586371489	-33.0509922616855
170	-47.2960320697543	-34.984790232343	-41.6035099493072	-36.0518074738385
170.5	-48.3218326704296	-39.27912721782	-45.4399912314331	-40.4827488270746
171	-49.3849830268675	-35.0359836966207	-45.0005984015537	-35.4975081579077
171.5	-50.4650705740757	-31.0598812593443	-42.140553817392	-31.4124351462988
172	-51.5291355854549	-29.9430853739893	-41.724370783854	-30.2412660568439
172.5	-52.5285336595784	-31.8281775328002	-43.6301342546624	-32.1248928326769
173	-53.4004582232853	-33.0004972650965	-48.9869224939875	-33.1113309279496
173.5	-54.0794289827053	-28.7667702761702	-59.0044417892386	-28.7708838834145
174	-54.5194407626343	-27.3659942279256	-46.3052063295562	-27.4217962859764
174.5	-54.7151210572127	-29.8341711588806	-42.4308916150124	-30.0798328584434
175	-54.7043846703429	-33.8318327927901	-42.0956311005659	-34.5332973469242
175.5	-54.550097642631	-32.5063022357741	-44.2707628975107	-32.8056811467772
