Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
77	-22.1558962418288	-20.859748620459	-55.9501552210861	-20.8610938949686	-44.8437583210333	-58.81047595438	-45.0215752307723	-25.3674452926003	-30.4244745948243	-26.9922071753224	-20.3530121421032	-57.935006015337	-20.3537700611468	-21.2054279010633	-29.9829531384033	-21.8227813305226
78	-17.7978178092488	-15.4411911366306	-59.8573149728684	-15.441348237932	-42.5182069197432	-53.524384081393	-42.8771194660079	-21.7150467277644	-31.0863674796361	-22.248441881965	-15.0803573497272	-50.1078326891174	-15.0817222628876	-15.6146379975772	-31.3736103494719	-15.7315119329634
79	-18.2594845355218	-13.6898513013625	-46.0692785559946	-13.6923629978868	-40.5774520975859	-50.8868003661341	-41.0019766572535	-20.6448509158899	-32.2198023842341	-20.9580758208893	-13.3590623517968	-42.7225368817643	-13.36409374668	-12.7157219154586	-32.0510738638911	-12.766630622284
80	-27.1787474567419	-15.5845665348316	-41.5610833188848	-15.5955485393336	-40.1357894548214	-49.3882913612104	-40.6849547481152	-20.5781679311735	-30.5199452278583	-21.0422604725258	-15.230391742444	-40.4993067066874	-15.2433199723306	-12.7664331678341	-28.6915677843897	-12.8788626463624
81	-21.1337265997555	-21.4948430220172	-40.7394079375443	-21.5468336132237	-39.9890639123601	-47.543704830383	-40.8277083568786	-18.8367851056574	-29.6449299375157	-19.2131889946608	-20.6743492820483	-41.1382886418244	-20.7135549796211	-15.03741951428	-27.510297503058	-15.2903982695163
82	-13.1808974250307	-14.5570840203773	-42.0209169732746	-14.5648785638734	-38.6556997819529	-46.6862999078859	-39.399364307488	-14.2740121899097	-29.314028251489	-14.4122659834394	-14.0808223856508	-41.7135825783486	-14.0883193092378	-11.0236604261958	-27.5675433947253	-11.1209919452654
83	-11.1740394338172	-9.88618443661868	-37.870135585113	-9.89309852385713	-36.7858670121796	-47.3462115973524	-37.1854199687557	-10.5031767316917	-25.7284618131565	-10.6355677548337	-9.51939053580749	-37.0393990881424	-9.52708481805495	-6.06685853214471	-23.8820655945347	-6.1392820722901
84	-14.5215473255459	-9.47720839800593	-31.7441056267139	-9.50305397466006	-35.4947908099306	-46.4862555691729	-35.8549732179775	-8.25308646096216	-21.3246921516106	-8.47264763870363	-9.1040464330393	-32.0592419885024	-9.12609430524592	-3.86237163453046	-19.3243282558236	-3.98763871286432
85	-21.478795098892	-13.8092674035615	-27.7768778578452	-13.9870470030824	-35.1810257210045	-43.0537834518572	-35.9548169483539	-7.35434899140056	-17.3488093120911	-7.81253985334155	-13.5344082796587	-28.6975811217422	-13.6687361436379	-4.06793818961851	-15.7379510354816	-4.37413664917876
86	-5.58845340124476	-8.95749717409064	-25.6856673217185	-9.05074123037118	-35.8821570932018	-40.5472910637645	-37.6970966974693	-7.5714837121313	-14.5823991466442	-8.53529614835445	-9.26847293396967	-26.8884694287496	-9.34425531933656	-5.08037023799257	-13.3869862919978	-5.7743723989542
