Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
31.5	-47.0859536305126	-37.4510974942624	-50.2714481227025	-37.6840926679854	-42.9181462370025	-67.2889369536596	-42.9340500106393	-41.3237546712475	-49.47996862623	-42.0443557263667	-33.814374560868	-50.8540040305374	-33.901100789203	-33.2189159804565	-43.8515316263068	-33.6115676258145
32	-53.517886293423	-40.6989996072777	-51.117694372208	-41.1124499552944	-41.7114472245527	-73.7336101746884	-41.7141743452861	-44.4042774295071	-53.0026435742956	-45.0496600865752	-35.3236651926872	-51.3904817995382	-35.4324404353993	-36.8245022033173	-46.1208724277629	-37.3677881136377
32.5	-56.739691212118	-41.6706971735774	-52.8510781382044	-42.0149233125716	-41.0519673375657	-79.967275190038	-41.0525248844627	-51.6901387715635	-65.8098860020969	-51.8616759317329	-35.5258820463962	-53.2425928325692	-35.5999811441192	-40.6005317045101	-54.9568799526973	-40.7628015095291
33	-48.2256191448775	-44.9861944019938	-55.0094502522645	-45.4411929946446	-41.2164564976154	-73.9203822488924	-41.2187873151244	-50.6533275153527	-51.5257305074858	-58.0529011658393	-37.6284205993398	-56.0266100941637	-37.6916799148374	-45.094413882036	-55.3136721085491	-45.5282962579792
33.5	-43.6113448702339	-38.062358165411	-57.3392397863194	-38.1139610212419	-41.7499881755429	-70.7522569330945	-41.7554562045316	-49.5272732674766	-49.7228077266748	-63.0902837524288	-35.1825724162545	-59.0182311209409	-35.2005660058076	-37.5613954817893	-52.3734951603621	-37.7072249916347
34	-40.6890499951608	-33.394080980911	-58.1379833492939	-33.4086732720098	-42.5300966578188	-67.0380892851438	-42.5455049759523	-47.6740633249666	-51.2573541028159	-50.178234658573	-31.1653999390351	-57.968505563316	-31.1744766290617	-32.2222643126897	-55.9068303457016	-32.2408962911675
34.5	-38.6779185661317	-31.2986414344049	-56.0142093737713	-31.3133294021035	-43.7207710037244	-63.8561409796808	-43.7630729837542	-46.9027154761677	-52.2975538235273	-48.3824690235906	-29.4405790527409	-54.1413417252911	-29.4553172629379	-30.1703066222694	-60.569898126958	-30.1742696151798
35	-37.2730889680865	-30.1085314878365	-53.089422536968	-30.130448967866	-44.0395666216932	-62.0130792063511	-44.1093768224985	-47.4942718887969	-53.366001230137	-48.7944388106565	-28.9545644247718	-50.7882426675384	-28.983130066585	-29.2336927050984	-56.5425925354555	-29.241770599292
35.5	-36.3341649241136	-30.1183372307515	-51.0518770550602	-30.1535084726995	-42.6994089901051	-61.1493314641421	-42.7619138170321	-44.1876584636589	-52.1333442471098	-44.9473680783034	-30.3137164770976	-48.7632342445504	-30.3762271710645	-29.124368278563	-50.3708868376748	-29.1570848100694
36	-35.7948854619079	-32.3013989175502	-49.4670394264763	-32.3856207226507	-40.4840700474273	-60.9340062287802	-40.5234029370488	-42.0046819951486	-49.8007995934582	-42.7935793214335	-35.5542859323842	-47.413096951535	-35.8470091459662	-30.8503161866603	-48.4218314724391	-30.926956836743
36.5	-35.6316891519272	-38.145609864374	-47.7328103138618	-38.6515704888948	-38.0569880894468	-61.0334004285373	-38.0789282409984	-43.5741944119261	-50.1756265177961	-44.6460385803874	-44.4013754232483	-46.061037984202	-49.3824571644545	-36.1526566897722	-48.9342019812082	-36.3878007083623
37	-35.8538081430491	-45.1612426444181	-46.5431048205238	-50.8070646251508	-35.7474547886179	-61.4439795249721	-35.7591691177616	-48.2669351508068	-53.5202493798759	-49.8054855299378	-35.4137696905558	-45.2620864789397	-35.8885300192357	-42.9598041727496	-48.6574703775925	-44.3224021390349
37.5	-36.5057655865988	-36.2139925880563	-46.2941865045835	-36.6627477831883	-33.7852765110803	-62.5284401177955	-33.7910809218447	-41.8112395410104	-60.4218545435855	-41.8714580861961	-33.3797099119411	-45.4078717505408	-33.6608677404165	-32.8498067577662	-47.4474820236698	-33.0031488304498
38	-37.6843338868062	-33.1198988915853	-46.538572303649	-33.3221973771149	-32.3257315626841	-63.7457047427748	-32.3288644417289	-36.5348205589288	-87.0259505179814	-36.5348593447735	-36.7106028052927	-46.0317249568492	-37.2506009626378	-29.0603413467141	-46.464206247792	-29.1400262360289
38.5	-39.5865648017417	-33.5900659212376	-46.4686720633836	-33.8198729904034	-31.2158849845876	-64.6931110160793	-31.2178355442218	-33.9836992257092	-61.604255908674	-33.9912172632613	-41.2057835275056	-46.258670892014	-42.832425930233	-28.4026426533082	-45.3033619263098	-28.4922169487636
39	-42.653528977383	-37.4401468698364	-46.1044017348946	-38.0750654928091	-30.2794475479303	-66.7245163399346	-30.2804322994705	-33.3914609694522	-56.6197816690267	-33.4121617570657	-33.174052679284	-46.168463218018	-33.397654524087	-29.9637684924735	-44.2577411079287	-30.1284307826543
39.5	-48.0839198665869	-43.5248959820908	-46.2346327485565	-46.858117200939	-29.5311464110721	-69.3390164466273	-29.5316003736	-33.256646614902	-52.9652039314886	-33.303340626667	-30.613292904104	-46.5860281214413	-30.7244810104932	-31.4401467484066	-43.6194467038066	-31.71138159105
40	-54.5341053762078	-40.9121486394196	-46.979715941751	-42.1459924095401	-28.979812619825	-70.2140776486466	-28.9801394891392	-31.5382562752163	-50.050507815122	-31.5998641045523	-30.7710628109467	-47.5160529631036	-30.8639425543229	-29.4736947308983	-42.9621401432065	-29.6726941216957
