Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
30.5	-41.4578497942164	-32.4724435454461	-50.0374858665861	-32.5491995263079	-47.8707597828162	-61.2933568642226	-48.0728712649945	-47.2396541910434	-57.9310041076945	-47.6267890533064	-31.3942103243529	-52.1672445965612	-31.4307113153274	-31.0363750234255	-47.2797323062498	-31.1407647145897
31	-43.6174816759201	-33.9865696876226	-50.4261824702612	-34.0862936880456	-44.6029263593228	-63.9244331224604	-44.6539985801951	-42.6878287799491	-50.5577474368104	-43.4621739307064	-31.862726063867	-51.6789048632075	-31.9082711676885	-31.3330454953539	-44.5415340011252	-31.545624844634
31.5	-47.0859536305126	-37.4510974765002	-50.2714480554786	-37.6840926529493	-42.9181462370025	-67.2889369536594	-42.9340500106393	-40.2177286900045	-48.1478632563217	-40.9804174624703	-33.8143745504218	-50.8540039599414	-33.90110077997	-32.8344496099123	-43.124334737636	-33.2609777383291
32	-53.517886293423	-40.6989995356763	-51.1176944954552	-41.1124498642317	-41.7114472245527	-73.7336101746876	-41.7141743452861	-41.2659387688314	-50.77215143915	-41.7820118509593	-35.3236651522374	-51.3904819182449	-35.4324403909129	-36.2650542092685	-44.9998105364751	-36.8889778551055
32.5	-56.739691212118	-41.670697213641	-52.8510780744369	-42.0149233611998	-41.0519673375658	-79.9672751900373	-41.0525248844627	-45.7610646333486	-73.1316877371328	-45.7690284294079	-35.5258820658992	-53.2425927658145	-35.5999811651065	-40.5835604153533	-52.1940210560822	-40.8941413204286
33	-48.2256191448775	-44.9861943056599	-55.0094504703501	-45.4411928635823	-41.2164564976154	-73.9203822488924	-41.2187873151244	-47.5486226510779	-51.5079155855086	-49.780566820692	-37.6284205621979	-56.0266103466576	-37.6916798734459	-46.9004484288563	-53.2240148277969	-48.0533683514511
33.5	-43.6113448702339	-38.0623581147976	-57.339239798501	-38.113960969878	-41.7499881755429	-70.7522569330945	-41.7554562045316	-48.6511574462649	-49.0491300686007	-59.2279354737576	-35.1825723737412	-59.0182311427504	-35.2005659630273	-38.6485751718538	-50.9246289393295	-38.9136479714778
34	-40.6890499951608	-33.3940809941507	-58.1379835181868	-33.4086732847255	-42.5300966578188	-67.0380892851436	-42.5455049759523	-48.5748562337118	-50.5377630508433	-52.9682525329242	-31.1653999398998	-57.9685054548365	-31.1744766301552	-32.5984627146754	-54.3515064150891	-32.6275654806471
34.5	-38.6779185661317	-31.2986414444942	-56.0142094300786	-31.3133294120362	-43.7207710037244	-63.8561409796807	-43.7630729837542	-46.0825296993014	-51.9130667315505	-47.3971658171057	-29.4405790607702	-54.1413417337383	-29.4553172709657	-30.2322555110439	-60.0418282816298	-30.2367954918158
35	-37.2730889680865	-30.1085315106945	-53.0894226039158	-30.1304489905009	-44.0395666216932	-62.013079206351	-44.1093768224985	-46.4596133675435	-53.174083676247	-47.500335373804	-28.9545644423797	-50.7882427072296	-28.9831300840471	-29.0799138008282	-56.1780037409012	-29.0883938672041
35.5	-36.3341649241136	-30.1183372313243	-51.0518770628136	-30.1535084732139	-42.6994089901051	-61.149331464142	-42.7619138170322	-44.1409916270386	-51.6216137448896	-44.9955671398725	-30.3137164799674	-48.7632342490814	-30.3762271739102	-28.7193612499485	-49.5972385100007	-28.7549880410346
36	-35.7948854619079	-32.3013989168924	-49.4670394801072	-32.3856207209298	-40.4840700474273	-60.9340062287802	-40.5234029370488	-41.0357638849168	-49.2421402193885	-41.7473728333346	-35.5542859305287	-47.4130969937217	-35.8470091410398	-30.0248964025731	-47.4506700145671	-30.1041766380946
36.5	-35.6316891519272	-38.1456098218199	-47.7328103758388	-38.6515704334249	-38.0569880894469	-61.0334004285373	-38.0789282409984	-41.1693921673829	-49.8100677157776	-41.8080343923717	-44.4013754518164	-46.0610380350328	-49.3824571451904	-34.2938738786276	-47.694154293307	-34.4970513440474
37	-35.8538081430491	-45.1612426266605	-46.5431048420276	-50.8070645025933	-35.7474547886179	-61.4439795249722	-35.7591691177616	-45.8007114892769	-53.4317524396021	-46.6232541439154	-35.4137696677278	-45.2620864940339	-35.8885299920271	-42.6180303785581	-47.3917131700464	-44.3777083736676
37.5	-36.5057655865988	-36.2139926460373	-46.2941866124057	-36.6627478357437	-33.7852765110803	-62.5284401177955	-33.7910809218447	-45.4078436472674	-60.0662852869086	-45.5590175824878	-33.3797099156531	-45.4078718525221	-33.6608677375561	-33.7769619346997	-46.4218285932077	-34.0198380789284
38	-37.6843338868062	-33.1198988375509	-46.5385722681307	-33.3221973221977	-32.3257315626841	-63.7457047427749	-32.3288644417289	-37.9663989050827	-66.0926501720465	-37.9730899461233	-36.7106027749973	-46.0317249274243	-37.2506009322272	-29.3311940871543	-45.7784208264249	-29.4307413894107
38.5	-39.5865648017417	-33.5900659898635	-46.4686720887356	-33.8198730613808	-31.2158849845876	-64.6931110160793	-31.2178355442218	-34.3212960250958	-61.1951643213991	-34.330225869617	-41.2057834368251	-46.2586709083416	-42.8324257909351	-28.2771704127517	-45.0666386400672	-28.3690936998677
39	-42.653528977383	-37.4401468479869	-46.1044017376868	-38.0750654670805	-30.2794475479303	-66.7245163399346	-30.2804322994705	-33.0870270355134	-57.2807882232791	-33.1035937453114	-33.1740526862708	-46.1684632225426	-33.3976545312039	-29.5142782633346	-44.3973391688422	-29.6577049007213
39.5	-48.0839198665869	-43.5248961442735	-46.2346328202078	-46.8581174676292	-29.5311464110721	-69.3390164466272	-29.5316003736	-32.6359151742944	-53.1846997756999	-32.6743590022142	-30.6132928743597	-46.5860281984213	-30.7244809779812	-30.9188577931027	-43.9721013718235	-31.1393732695221
40	-54.5341053762078	-40.912148716382	-46.9797159506563	-42.1459925088639	-28.979812619825	-70.2140776486465	-28.9801394891392	-30.8103177289177	-50.0215401524349	-30.8627114351349	-30.77106277654	-47.5160529763766	-30.8639425188855	-29.0593797249223	-43.3500856998253	-29.2241682966733
40.5	-46.3884282239961	-38.422177394751	-47.6610743358686	-38.9731798018237	-28.5826186380164	-73.2489298057517	-28.5827669446612	-29.5273584013453	-49.0205866274336	-29.5764393814395	-31.5759078057891	-48.0736083557215	-31.6742917357045	-27.5809827830106	-42.8101863216448	-27.7132525723497
41	-41.4269646855933	-38.6565264406135	-48.2416632307218	-39.1627421178622	-28.3172197998049	-84.5540330334535	-28.3172301298806	-30.7571823173836	-51.5915768095445	-30.7931690948632	-30.8519638408919	-48.195278039017	-30.9327779765736	-28.4769871427988	-43.8516632243052	-28.6048349883704
41.5	-38.4866817537827	-42.660570935091	-48.9211449356446	-43.8328258192358	-28.181385009332	-70.6604268935855	-28.1816304194099	-33.0864201752803	-67.7171333491279	-33.0879156799278	-28.7219935483982	-48.2379159792217	-28.7708172798064	-30.8125426745729	-48.0112928747128	-30.896118637301
42	-36.6267031051568	-45.0370237121861	-48.9112496831211	-47.3270694944828	-28.162722896424	-65.115374925302	-28.1635990150505	-31.3709435832454	-52.3684104411112	-31.405598849238	-27.4022379502887	-47.6638981556865	-27.4433217745287	-32.6146488607364	-52.6564820790499	-32.6578764059743
42.5	-35.5000986914822	-36.0878226734559	-48.6633475948723	-36.3347210621455	-28.2089754524801	-61.9990386386625	-28.2107904195003	-30.0719306197326	-46.8427165699148	-30.1642544319978	-28.4123546250875	-46.979277480666	-28.4731863401872	-35.2542386133642	-48.5517026083071	-35.4624020804722
43	-34.9660815072354	-32.4265288035347	-49.0599725122075	-32.5218517304865	-28.3183790697686	-59.6522918362542	-28.3215746726567	-31.0041807633419	-45.116954890559	-31.1759990927812	-33.2545765244685	-46.9468255975864	-33.4442508751377	-34.3518923036812	-46.4777255238354	-34.6265955260739
